Date;Open;
30.04.2014;1877.099976;1
01.05.2014;1884.390015;1
02.05.2014;1885.300049;1
05.05.2014;1879.449951;0
06.05.2014;1883.689941;1
07.05.2014;1868.530029;0
08.05.2014;1877.390015;1
09.05.2014;1875.270020;0
12.05.2014;1880.030029;1
13.05.2014;1896.750000;1
14.05.2014;1897.130005;1
15.05.2014;1888.160034;0
16.05.2014;1871.189941;0
19.05.2014;1876.660034;1
20.05.2014;1884.880005;1
21.05.2014;1873.339966;0
22.05.2014;1888.189941;1
23.05.2014;1893.319946;1
27.05.2014;1902.010010;1
28.05.2014;1911.770020;1
29.05.2014;1910.599976;0
30.05.2014;1920.329956;1
02.06.2014;1923.869995;1
03.06.2014;1923.069946;0
04.06.2014;1923.060059;0
05.06.2014;1928.520020;1
06.06.2014;1942.410034;1
09.06.2014;1948.969971;1
10.06.2014;1950.339966;1
11.06.2014;1949.369995;0
12.06.2014;1943.349976;0
13.06.2014;1930.800049;0
16.06.2014;1934.839966;1
17.06.2014;1937.150024;1
18.06.2014;1942.729980;1
19.06.2014;1957.500000;1
20.06.2014;1960.449951;1
23.06.2014;1962.920044;1
24.06.2014;1961.969971;0
25.06.2014;1949.270020;0
26.06.2014;1959.890015;1
27.06.2014;1956.560059;0
30.06.2014;1960.790039;1
01.07.2014;1962.290039;1
02.07.2014;1973.060059;1
03.07.2014;1975.880005;1
07.07.2014;1984.219971;1
08.07.2014;1976.390015;0
09.07.2014;1965.099976;0
10.07.2014;1966.670044;1
11.07.2014;1965.760010;0
14.07.2014;1969.859985;1
15.07.2014;1977.359985;1
16.07.2014;1976.349976;0
17.07.2014;1979.750000;1
18.07.2014;1961.540039;0
21.07.2014;1976.930054;1
22.07.2014;1975.650024;0
23.07.2014;1985.319946;1
24.07.2014;1988.069946;1
25.07.2014;1984.599976;0
28.07.2014;1978.250000;0
29.07.2014;1980.030029;1
30.07.2014;1973.209961;0
31.07.2014;1965.140015;0
01.08.2014;1929.800049;0
04.08.2014;1926.619995;0
05.08.2014;1936.339966;1
06.08.2014;1917.290039;0
07.08.2014;1923.030029;1
08.08.2014;1910.349976;0
11.08.2014;1933.430054;1
12.08.2014;1935.729980;1
13.08.2014;1935.599976;0
14.08.2014;1947.410034;1
15.08.2014;1958.869995;1
18.08.2014;1958.359985;0
19.08.2014;1972.729980;1
20.08.2014;1980.459961;1
21.08.2014;1986.819946;1
22.08.2014;1992.599976;1
25.08.2014;1991.739990;0
26.08.2014;1998.589966;1
27.08.2014;2000.540039;1
28.08.2014;1997.420044;0
29.08.2014;1998.449951;1
02.09.2014;2004.069946;1
03.09.2014;2003.569946;0
04.09.2014;2001.670044;0
05.09.2014;1998.000000;0
08.09.2014;2007.170044;1
09.09.2014;2000.729980;0
10.09.2014;1988.410034;0
11.09.2014;1992.849976;1
12.09.2014;1996.739990;1
15.09.2014;1986.040039;0
16.09.2014;1981.930054;0
17.09.2014;1999.300049;1
18.09.2014;2003.069946;1
19.09.2014;2012.739990;1
22.09.2014;2009.079956;0
23.09.2014;1992.780029;0
24.09.2014;1983.339966;0
25.09.2014;1997.319946;1
26.09.2014;1966.219971;0
29.09.2014;1978.959961;1
30.09.2014;1978.209961;0
01.10.2014;1971.439941;0
02.10.2014;1945.829956;0
03.10.2014;1948.119995;1
06.10.2014;1970.010010;1
07.10.2014;1962.359985;0
08.10.2014;1935.550049;0
09.10.2014;1967.680054;1
10.10.2014;1925.630005;0
13.10.2014;1905.650024;0
14.10.2014;1877.109985;0
15.10.2014;1874.180054;0
16.10.2014;1855.949951;0
17.10.2014;1864.910034;1
20.10.2014;1885.619995;1
21.10.2014;1909.380005;1
22.10.2014;1941.290039;1
23.10.2014;1931.020020;0
24.10.2014;1951.589966;1
27.10.2014;1962.969971;1
28.10.2014;1964.140015;1
29.10.2014;1983.290039;1
30.10.2014;1979.489990;0
31.10.2014;2001.199951;1
03.11.2014;2018.209961;1
04.11.2014;2015.810059;0
05.11.2014;2015.290039;0
06.11.2014;2023.329956;1
07.11.2014;2032.359985;1
10.11.2014;2032.010010;0
11.11.2014;2038.199951;1
12.11.2014;2037.750000;0
13.11.2014;2039.209961;1
14.11.2014;2039.739990;1
17.11.2014;2038.290039;0
18.11.2014;2041.479980;1
19.11.2014;2051.159912;1
20.11.2014;2045.869995;0
21.11.2014;2057.459961;1
24.11.2014;2065.070068;1
25.11.2014;2070.149902;1
26.11.2014;2067.360107;0
28.11.2014;2074.780029;1
01.12.2014;2065.780029;0
02.12.2014;2053.770020;0
03.12.2014;2067.449951;1
04.12.2014;2073.639893;1
05.12.2014;2072.780029;0
08.12.2014;2074.840088;1
09.12.2014;2056.550049;0
10.12.2014;2058.860107;1
11.12.2014;2027.920044;0
12.12.2014;2030.359985;1
15.12.2014;2005.030029;0
16.12.2014;1986.709961;0
17.12.2014;1973.770020;0
18.12.2014;2018.979980;1
19.12.2014;2061.040039;1
22.12.2014;2069.280029;1
23.12.2014;2081.479980;1
24.12.2014;2083.250000;1
26.12.2014;2084.300049;1
29.12.2014;2087.629883;1
30.12.2014;2088.489990;1
31.12.2014;2082.110107;0
02.01.2015;2058.899902;0
05.01.2015;2054.439941;0
06.01.2015;2022.150024;0
07.01.2015;2005.550049;0
08.01.2015;2030.609985;1
09.01.2015;2063.449951;1
12.01.2015;2046.130005;0
13.01.2015;2031.579956;0
14.01.2015;2018.400024;0
15.01.2015;2013.750000;0
16.01.2015;1992.250000;0
20.01.2015;2020.760010;1
21.01.2015;2020.189941;0
22.01.2015;2034.300049;1
23.01.2015;2062.979980;1
26.01.2015;2050.419922;0
27.01.2015;2047.859985;0
28.01.2015;2032.339966;0
29.01.2015;2002.449951;0
30.01.2015;2019.349976;1
02.02.2015;1996.670044;0
03.02.2015;2022.709961;1
04.02.2015;2048.860107;1
05.02.2015;2043.449951;0
06.02.2015;2062.280029;1
09.02.2015;2053.469971;0
10.02.2015;2049.379883;0
11.02.2015;2068.550049;1
12.02.2015;2069.979980;1
13.02.2015;2088.780029;1
17.02.2015;2096.469971;1
18.02.2015;2099.159912;1
19.02.2015;2099.250000;1
20.02.2015;2097.649902;0
23.02.2015;2109.830078;1
24.02.2015;2109.100098;0
25.02.2015;2115.300049;1
26.02.2015;2113.909912;0
27.02.2015;2110.879883;0
02.03.2015;2105.229980;0
03.03.2015;2115.760010;1
04.03.2015;2107.719971;0
05.03.2015;2098.540039;0
06.03.2015;2100.909912;1
09.03.2015;2072.250000;0
10.03.2015;2076.139893;1
11.03.2015;2044.689941;0
12.03.2015;2041.099976;0
13.03.2015;2064.560059;1
16.03.2015;2055.350098;0
17.03.2015;2080.590088;1
18.03.2015;2072.840088;0
19.03.2015;2098.689941;1
20.03.2015;2090.320068;0
23.03.2015;2107.989990;1
24.03.2015;2103.939941;0
25.03.2015;2093.100098;0
26.03.2015;2059.939941;0
